ticket class,gender,age,sibl. sp.,par. ch.,ticket fare,embarked
3,0.42,0,1,8.5167
3,0.75,2,1,19.2583
3,0.75,2,1,19.2583
3,1,0,2,15.7417
2,1,0,2,37.0042
2,3,1,2,41.5792
3,4,0,1,13.4167
3,5,2,1,19.2583
3,12,1,0,11.2417
3,13,0,0,7.2292
2,14,1,0,30.0708
3,14,1,0,11.2417
3,15,1,0,14.4542
3,15,0,0,7.225
1,16,0,1,57.9792
1,17,1,0,108.9
2,17,0,0,12
1,17,0,2,110.8833
1,18,2,2,262.375
1,18,1,0,227.525
1,19,1,0,91.0792
3,20,1,1,15.7417
3,20,0,0,7.2292
1,21,2,2,262.375
1,22,0,2,49.5
3,22,0,0,7.225
2,22,1,2,41.5792
1,23,0,1,63.3583
1,23,1,0,113.275
2,23,0,0,13.7917
1,24,0,0,83.1583
1,24,0,0,69.3
1,24,0,0,69.3
1,24,0,0,49.5042
3,24,0,3,19.2583
1,25,1,0,55.4417
1,25,1,0,91.0792
3,26,0,0,18.7875
1,26,0,0,30
1,27,0,0,76.7292
2,27,1,0,13.8583
2,28,1,0,24
3,29,0,2,15.2458
3,29,0,0,7.8958
1,30,0,0,56.9292
1,30,0,0,106.425
1,30,0,0,31
1,31,1,0,113.275
1,32,0,0,76.2917
1,32,0,0,30.5
1,35,0,0,512.3292
1,35,0,0,26.55
1,35,0,0,512.3292
1,36,0,0,135.6333
1,36,0,1,512.3292
1,38,1,0,71.2833
1,38,0,0,227.525
1,39,1,1,110.8833
1,39,1,1,83.1583
1,40,0,0,31
1,40,1,1,134.5
1,41,0,0,134.5
1,42,0,0,227.525
1,44,0,0,27.7208
1,44,0,1,57.9792
1,48,1,0,39.6
1,48,1,0,76.7292
1,49,1,0,76.7292
1,49,1,0,89.1042
1,49,1,0,56.9292
1,50,0,1,247.5208
1,52,1,0,78.2667
1,54,1,0,78.2667
1,54,1,0,59.4
1,56,0,0,35.5
1,56,0,1,83.1583
1,58,0,0,146.5208
1,60,1,0,75.25
1,60,1,1,79.2
3,15,0,0,8.0292
3,16,0,0,7.7333
3,16,0,0,7.75
3,19,0,0,7.8792
3,22,0,0,7.75
3,29,0,0,7.75
2,30,0,0,12.35
1,33,1,0,90
2,0.67,1,1,14.5
2,0.83,0,2,29
2,0.83,1,1,18.75
1,0.92,1,2,151.55
3,1,1,1,11.1333
2,1,2,1,39
3,1,1,2,20.575
2,2,1,1,26
3,2,0,1,12.2875
2,2,1,1,26
2,3,1,1,26
3,3,4,2,31.3875
3,3,1,1,15.9
2,3,1,1,18.75
3,4,1,1,16.7
3,4,0,2,22.025
1,4,0,2,81.8583
2,4,2,1,39
2,4,1,1,23
3,4,1,1,11.1333
2,5,1,2,27.75
3,5,4,2,31.3875
3,5,0,0,12.475
2,6,0,1,33
3,6,0,1,12.475
2,7,0,2,26.25
2,8,0,2,26.25
2,8,1,1,36.75
3,9,0,2,20.525
3,9,1,1,15.9
1,11,1,2,120
2,13,0,1,19.5
1,14,1,2,120
1,15,0,1,211.3375
3,16,0,0,8.05
1,16,0,0,86.5
1,16,0,1,39.4
3,17,4,2,7.925
2,17,0,0,10.5
1,17,1,0,57
3,18,0,0,8.05
2,18,0,2,13
1,18,0,2,79.65
2,18,0,1,23
3,18,0,0,9.8417
3,18,0,0,7.4958
3,18,0,1,9.35
1,19,0,2,26.2833
3,19,1,0,7.8542
2,19,0,0,10.5
3,19,0,0,8.05
2,19,0,0,26
2,19,1,0,26
1,19,0,0,30
3,20,1,0,7.925
2,21,0,0,10.5
3,21,0,0,7.65
3,21,0,0,7.7958
1,21,0,0,77.9583
3,22,0,0,7.75
1,22,1,0,66.6
2,22,1,1,29
1,22,0,1,55
3,22,0,0,7.25
3,22,0,0,7.775
1,22,0,0,151.55
1,23,3,2,263
3,23,0,0,7.55
3,24,0,0,7.1417
3,24,1,0,15.85
2,24,0,2,14.5
2,24,1,0,26
1,24,3,2,263
2,24,0,0,13
3,24,0,2,16.7
2,24,2,3,18.75
2,24,2,1,27
2,24,1,2,65
3,25,1,0,7.775
3,25,0,0,0
2,25,1,1,30
2,25,0,1,26
3,26,0,0,7.925
1,26,0,0,78.85
3,26,0,0,7.8542
3,26,0,0,56.4958
3,27,0,2,11.1333
3,27,0,0,7.7958
3,27,0,0,7.925
1,27,0,0,30.5
2,27,0,0,10.5
1,27,1,0,53.1
3,27,0,0,6.975
3,27,0,0,8.6625
3,27,0,1,12.475
1,28,0,0,35.5
2,28,0,0,12.65
2,28,1,0,26
1,28,0,0,26.55
2,28,0,0,13
2,28,0,0,13
2,29,1,0,26
2,29,0,0,10.5
3,29,0,0,9.5
2,29,1,0,26
1,29,0,0,211.3375
3,30,0,0,12.475
1,30,0,0,86.5
3,30,0,0,9.5
1,30,0,0,93.5
2,30,3,0,21
2,30,0,0,13
